Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Agent interactions,Survey results,Product group,Support Level,Country,Latitude,Longitude,Resolution_Duration,Response_Duration,Priority_Score,Performance_Bucket
Closed,1012,Low,Email,Feature request,1st line support,Kristos Westoll,2023-01-02 00:58:36,2023-01-04 00:58:36,2023-01-02 01:58:36,2023-01-02 01:03:17.432,Within SLA,2023-01-04 00:31:51.694,Within SLA,2023-01-04 04:02:59.013,1.0,3.0,Custom software development,Tier 1,Republic of Ireland,53.094024,-8.019675,47.554359444444444,0.07817555555555555,1,Slow
In progress,1013,High,Phone,Product setup,2nd line support,Adolpho Messingham,2023-01-02 07:27:25,2023-01-04 07:27:25,2023-01-02 07:29:25,2023-01-02 07:27:43.231,Within SLA,,SLA Violated,,3.0,,Other,Tier 2,Italy,43.036776,12.678565,,0.005064166666666667,3,
Resolved,1014,Low,Chat,Purchasing and invoicing,1st line support,Bernard Beckley,2023-01-02 06:59:04,2023-01-03 06:59:04,2023-01-02 07:01:04,2023-01-02 06:59:57.471,Within SLA,2023-01-02 22:45:32.974,Within SLA,,2.0,,Custom software development,Tier 1,Austria,47.6964719,13.3457347,15.774715,0.014853055555555555,1,Average
Closed,1015,Medium,Email,Pricing and licensing,1st line support,Connor Danielovitch,2023-01-03 03:09:39,2023-01-05 03:09:39,2023-01-03 04:09:39,2023-01-03 07:09:15.835,SLA Violated,2023-01-04 14:32:34.979,Within SLA,2023-01-08 04:24:54.771,10.0,4.0,Ready to use Software,Tier 1,Spain,39.67337,-4.767726,35.38221638888889,3.9935652777777775,2,Slow
Closed,1016,Low,Email,Product setup,1st line support,Kristos Westoll,2023-01-03 00:03:58,2023-01-05 00:03:58,2023-01-03 01:03:58,2023-01-03 00:08:01.684,Within SLA,2023-01-04 12:03:05.986,Within SLA,2023-01-06 06:05:08.637,1.0,2.0,Other,Tier 1,Austria,47.6964719,13.3457347,35.985551666666666,0.06769,1,Slow
Closed,1017,Low,Email,Purchasing and invoicing,1st line support,Sheela Cutten,2023-01-03 14:25:42,2023-01-05 14:25:42,2023-01-03 15:25:42,2023-01-03 14:45:14.430,Within SLA,2023-01-04 01:55:56.533,Within SLA,2023-01-10 16:41:07.865,2.0,2.0,Ready to use Software,Tier 1,Greece,39.368279,21.863141,11.504036944444445,0.325675,1,Fast
Closed,1018,Low,Phone,Product setup,1st line support,Kristos Westoll,2023-01-03 15:32:02,2023-01-05 15:32:02,2023-01-03 15:34:02,2023-01-03 15:34:00.278,Within SLA,2023-01-05 03:51:37.031,Within SLA,2023-01-07 21:52:35.202,2.0,3.0,Ready to use Software,Tier 1,Republic of Ireland,53.094024,-8.019675,36.3263975,0.032855,1,Slow
Resolved,1019,Medium,Chat,Pricing and licensing,2nd line support,Michele Whyatt,2023-01-03 00:38:48,2023-01-04 00:38:48,2023-01-03 00:40:48,2023-01-03 00:39:30.256,Within SLA,2023-01-05 12:47:55.793,SLA Violated,,2.0,,Training and Consulting Services,Tier 2,Poland,52.536273,19.050639,60.152164722222224,0.011737777777777778,2,Slow
Resolved,1020,Medium,Chat,Product setup,1st line support,Kristos Westoll,2023-01-03 09:37:54,2023-01-04 09:37:54,2023-01-03 09:39:54,2023-01-03 09:41:55.452,SLA Violated,2023-01-03 20:31:37.896,Within SLA,,6.0,,Other,Tier 1,Germany,51.165691,10.451526,10.895526666666667,0.06707,2,Fast
Closed,1021,Low,Email,Product setup,1st line support,Bernard Beckley,2023-01-03 09:27:35,2023-01-05 09:27:35,2023-01-03 10:27:35,2023-01-03 10:24:48.183,Within SLA,2023-01-04 10:16:32.492,Within SLA,2023-01-07 20:25:29.487,1.0,4.0,Training and Consulting Services,Tier 1,Czech Republic,49.8037633,15.4749126,24.81597,0.9536619444444444,1,Average
