Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Product group,Support Level,Country,Type
Closed,1012,Low,Email,Feature request,1st line support,Kristos Westoll,02-01-2023 00:58,04-01-2023 00:58,02-01-2023 01:58,03:17.4,Within SLA,31:51.7,Within SLA,02:59.0,Custom software development,Tier 1,Republic of Ireland,Change
In progress,1013,High,Phone,Product setup,2nd line support,Adolpho Messingham,02-01-2023 07:27,04-01-2023 07:27,02-01-2023 07:29,27:43.2,Within SLA,,SLA Violated,,Other,Tier 2,Italy,Request
Resolved,1014,Low,Chat,Purchasing and invoicing,1st line support,Bernard Beckley,02-01-2023 06:59,03-01-2023 06:59,02-01-2023 07:01,59:57.5,Within SLA,45:33.0,Within SLA,,Custom software development,Tier 1,Austria,Request
Closed,1015,Medium,Email,Pricing and licensing,1st line support,Connor Danielovitch,03-01-2023 03:09,05-01-2023 03:09,03-01-2023 04:09,09:15.8,SLA Violated,32:35.0,Within SLA,24:54.8,Ready to use Software,Tier 1,Spain,Request
Closed,1016,Low,Email,Product setup,1st line support,Kristos Westoll,03-01-2023 00:03,05-01-2023 00:03,03-01-2023 01:03,08:01.7,Within SLA,03:06.0,Within SLA,05:08.6,Other,Tier 1,Austria,Request
Closed,1017,Low,Email,Purchasing and invoicing,1st line support,Sheela Cutten,03-01-2023 14:25,05-01-2023 14:25,03-01-2023 15:25,45:14.4,Within SLA,55:56.5,Within SLA,41:07.9,Ready to use Software,Tier 1,Greece,Request
Closed,1018,Low,Phone,Product setup,1st line support,Kristos Westoll,03-01-2023 15:32,05-01-2023 15:32,03-01-2023 15:34,34:00.3,Within SLA,51:37.0,Within SLA,52:35.2,Ready to use Software,Tier 1,Republic of Ireland,Request
Resolved,1019,Medium,Chat,Pricing and licensing,2nd line support,Michele Whyatt,03-01-2023 00:38,04-01-2023 00:38,03-01-2023 00:40,39:30.3,Within SLA,47:55.8,SLA Violated,,Training and Consulting Services,Tier 2,Poland,Request
Resolved,1020,Medium,Chat,Product setup,1st line support,Kristos Westoll,03-01-2023 09:37,04-01-2023 09:37,03-01-2023 09:39,41:55.5,SLA Violated,31:37.9,Within SLA,,Other,Tier 1,Germany,Request
Closed,1021,Low,Email,Product setup,1st line support,Bernard Beckley,03-01-2023 09:27,05-01-2023 09:27,03-01-2023 10:27,24:48.2,Within SLA,16:32.5,Within SLA,25:29.5,Training and Consulting Services,Tier 1,Czech Republic,Request
Closed,1024,Medium,Chat,Other,1st line support,Bernard Beckley,03-01-2023 16:41,04-01-2023 16:41,03-01-2023 16:43,43:40.9,SLA Violated,52:18.3,Within SLA,38:58.7,Custom software development,Tier 1,Czech Republic,Request
Closed,1025,Low,Chat,Bug report,1st line support,Sheela Cutten,03-01-2023 04:50,04-01-2023 04:50,03-01-2023 04:52,50:05.2,Within SLA,17:12.4,SLA Violated,37:59.2,Custom software development,Tier 1,Poland,Incident
Closed,1026,Low,Chat,Bug report,1st line support,Nicola Wane,04-01-2023 10:49,05-01-2023 10:49,04-01-2023 10:51,50:41.6,Within SLA,37:37.3,Within SLA,53:53.0,Ready to use Software,Tier 1,Bulgaria,Incident
Resolved,1027,Low,Chat,Training request,1st line support,Bernard Beckley,04-01-2023 07:27,05-01-2023 07:27,04-01-2023 07:29,28:51.8,Within SLA,41:40.5,Within SLA,,Training and Consulting Services,Tier 1,United Kingdom,Request
Resolved,1028,Low,Chat,Bug report,1st line support,Kristos Westoll,04-01-2023 21:46,05-01-2023 21:46,04-01-2023 21:48,46:51.2,Within SLA,28:20.3,Within SLA,,Ready to use Software,Tier 1,Bulgaria,Incident
Closed,1029,Medium,Chat,Feature request,1st line support,Bernard Beckley,04-01-2023 09:12,05-01-2023 09:12,04-01-2023 09:14,13:35.2,Within SLA,45:18.3,Within SLA,18:19.8,Custom software development,Tier 1,Germany,Change
Closed,1030,Medium,Chat,Feature request,1st line support,Connor Danielovitch,04-01-2023 19:36,05-01-2023 19:36,04-01-2023 19:38,37:55.7,Within SLA,24:20.0,Within SLA,16:49.1,Ready to use Software,Tier 1,Germany,Change
